   Average 

Sample_Type m n Runtime
Random_Vector 3 1000 10
Random_Vector 3 1000 10
Random_Vector 3 1000 10
Random_Vector 4 1000 10
Random_Vector 3 1000 10
Random_Vector 3 1000 10
Random_Vector 3 1000 10
Random_Vector 3 1000 10
Random_Vector 4 1000 10
Random_Vector 3 1000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
Sorted_Vector 0 1000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 3 1000 10
Inverse_Sorted_Vector 5 1000 10
Inverse_Sorted_Vector 6 1000 10
Inverse_Sorted_Vector 3 1000 10
Inverse_Sorted_Vector 7 1000 10
Inverse_Sorted_Vector 3 1000 10
Inverse_Sorted_Vector 4 1000 10
Inverse_Sorted_Vector 10 1000 10
Inverse_Sorted_Vector 10 1000 10
Inverse_Sorted_Vector 9 1000 10
   Average 

Sample_Type m n Runtime
Random_Vector 3 1000 25
Random_Vector 4 1000 25
Random_Vector 3 1000 25
Random_Vector 3 1000 25
Random_Vector 4 1000 25
Random_Vector 4 1000 25
Random_Vector 5 1000 25
Random_Vector 4 1000 25
Random_Vector 3 1000 25
Random_Vector 2 1000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 0 1000 25
Sorted_Vector 0 1000 25
Sorted_Vector 0 1000 25
Sorted_Vector 0 1000 25
Sorted_Vector 1 1000 25
Sorted_Vector 0 1000 25
Sorted_Vector 0 1000 25
Sorted_Vector 0 1000 25
Sorted_Vector 1 1000 25
Sorted_Vector 0 1000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 6 1000 25
Inverse_Sorted_Vector 2 1000 25
Inverse_Sorted_Vector 5 1000 25
Inverse_Sorted_Vector 5 1000 25
Inverse_Sorted_Vector 6 1000 25
Inverse_Sorted_Vector 7 1000 25
Inverse_Sorted_Vector 6 1000 25
Inverse_Sorted_Vector 4 1000 25
Inverse_Sorted_Vector 6 1000 25
Inverse_Sorted_Vector 5 1000 25
   Average 

Sample_Type m n Runtime
Random_Vector 1 1000 50
Random_Vector 3 1000 50
Random_Vector 4 1000 50
Random_Vector 5 1000 50
Random_Vector 4 1000 50
Random_Vector 4 1000 50
Random_Vector 3 1000 50
Random_Vector 2 1000 50
Random_Vector 4 1000 50
Random_Vector 4 1000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 0 1000 50
Sorted_Vector 1 1000 50
Sorted_Vector 1 1000 50
Sorted_Vector 1 1000 50
Sorted_Vector 1 1000 50
Sorted_Vector 0 1000 50
Sorted_Vector 0 1000 50
Sorted_Vector 1 1000 50
Sorted_Vector 0 1000 50
Sorted_Vector 1 1000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 7 1000 50
Inverse_Sorted_Vector 8 1000 50
Inverse_Sorted_Vector 3 1000 50
Inverse_Sorted_Vector 4 1000 50
Inverse_Sorted_Vector 9 1000 50
Inverse_Sorted_Vector 8 1000 50
Inverse_Sorted_Vector 8 1000 50
Inverse_Sorted_Vector 3 1000 50
Inverse_Sorted_Vector 10 1000 50
Inverse_Sorted_Vector 8 1000 50
   Average 

Sample_Type m n Runtime
Random_Vector 16 2500 10
Random_Vector 5 2500 10
Random_Vector 13 2500 10
Random_Vector 19 2500 10
Random_Vector 6 2500 10
Random_Vector 6 2500 10
Random_Vector 20 2500 10
Random_Vector 14 2500 10
Random_Vector 14 2500 10
Random_Vector 5 2500 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 1 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 1 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 0 2500 10
Sorted_Vector 0 2500 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 47 2500 10
Inverse_Sorted_Vector 31 2500 10
Inverse_Sorted_Vector 37 2500 10
Inverse_Sorted_Vector 8 2500 10
Inverse_Sorted_Vector 27 2500 10
Inverse_Sorted_Vector 12 2500 10
Inverse_Sorted_Vector 31 2500 10
Inverse_Sorted_Vector 24 2500 10
